City,Country,Country Code,Course Name,Cuisine Name,Customer First Name,Customer ID,Customer Last Name,Customer Name,Delivery Date,Desert Name,Drink,Order Date,Order ID,Postal Code,Row Number,Sides,Starter Name,Cost,Delivery Cost,Discount,Profit,Quantity,Sales
Wilkes Barre,United States,US,Bean soup,Turkish,Dusty,23-245-6549,Yedall,Dusty Yedall,12/17/2020,Ice cream,Corfu Red Wine,2/13/2021,61-509-9344,987-0384,548,Potato salad,Tomato bread,235,97.38,20.33,117.5,3,352.5
Kansas City,United States,US,Carbonara,Italian,Roanna,91-757-8892,Safont,Roanna Safont,11/18/2022,Affogato,Roma Red wine,1/6/2023,52-708-9153,353748,574,Focaccia,Tomato bread,210,1.54,24,105,1,315
Chesapeake,United States,US,Kabasa,Greek,Richie,45-619-6096,Brydson,Richie Brydson,5/24/2020,Turkish yoghurt,Ankara White Wine,9/16/2019,66-576-7484,31056798,581,Meatballs,Falafel,144.09,67.12,67.77,72.045,2,216.135
Fort Smith,United States,US,Bean soup,Turkish,Alfreda,47-423-8685,Chasmer,Alfreda Chasmer,10/2/2022,Ice cream,Corfu Red Wine,10/15/2022,27-252-7456,353750,608,Potato salad,Olives,133.17,90.72,23,66.585,3,199.755
Grand Junction,United States,US,Kabasa,Greek,Renato,77-254-6430,Paulin,Renato Paulin,3/19/2020,Turkish yoghurt,Ankara White Wine,3/20/2020,67-156-1140,387 01,617,Meatballs,Minestrone,320,81.2,97.48,160,2,480
Birmingham,United States,US,Shwarma,Italian,Janeva,19-203-6248,Silman,Janeva Silman,1/25/2021,Baklava,Turkish Coffee,6/22/2021,53-131-0339,39504275,618,Fries,Tomato bread,210,16.63,68.89,105,1,315
Chicago,United States,US,Carbonara,Turkish,Wenona,71-908-5082,MacGinlay,Wenona MacGinlay,12/9/2022,Affogato,Roma Red wine,4/24/2021,83-547-0450,41693735,652,Focaccia,Hummus,133.17,42.27,20,66.585,3,199.755
Pompano Beach,United States,US,Kabasa,Italian,Karissa,13-040-2063,Sancraft,Karissa Sancraft,3/28/2022,Turkish yoghurt,Ankara White Wine,1/13/2021,53-322-3671,3810-799,671,Meatballs,Hummus,93.13,2.88,73.09,46.565,2,139.695
Atlanta,United States,US,Kabasa,Greek,Vale,78-969-3391,Norwood,Vale Norwood,3/30/2022,Turkish yoghurt,Ankara White Wine,1/16/2021,92-859-5564,692809,689,Meatballs,Falafel,168.27,52.14,17.4,84.135,2,252.405
Newport Beach,United States,US,Carbonara,Turkish,Lance,11-687-7365,Cheatle,Lance Cheatle,2/7/2020,Affogato,Roma Red wine,6/8/2021,95-935-6126,37314294,700,Focaccia,Tomato bread,119.8,99.91,53.53,59.9,3,179.7
Buffalo,United States,US,Kabasa,Greek,Sherye,38-029-8372,Christmas,Sherye Christmas,11/7/2020,Turkish yoghurt,Ankara White Wine,6/14/2019,90-256-2320,-1.92535e+07,713,Meatballs,Tomato bread,144.09,94.67,94.76,72.045,2,216.135
Decatur,United States,US,Kabasa,Italian,Lorne,03-040-0318,Boldry,Lorne Boldry,5/6/2021,Turkish yoghurt,Ankara White Wine,3/2/2021,79-627-2533,393 01,719,Meatballs,Tomato bread,52.08,39.38,89.84,26.04,2,78.12
Sacramento,United States,US,Bean soup,Turkish,Yardley,36-850-2399,Eliet,Yardley Eliet,3/28/2022,Ice cream,Corfu Red Wine,12/26/2021,99-862-6759,393 01,728,Potato salad,Hummus,210,59.34,37.04,105,3,315
Decatur,United States,US,Kabasa,Greek,Doreen,09-203-2909,Sothcott,Doreen Sothcott,1/24/2022,Turkish yoghurt,Ankara White Wine,2/15/2020,75-556-0225,993-0075,749,Meatballs,Flatbread,320,70.86,51.05,160,2,480
San Francisco,United States,US,Pizza,Greek,Petronille,27-104-9440,Scrimgeour,Petronille Scrimgeour,12/8/2019,Cheesecake,Italian Coffee,3/10/2022,74-006-2266,395 01,753,Bruschetta,Hummus,190,84.96,9.71,95,2,285
Washington,United States,US,Pizza,Italian,Faith,82-520-3770,Grushin,Faith Grushin,1/13/2021,Cheesecake,Italian Coffee,11/20/2020,54-080-0702,3810-807,807,Bruschetta,Minestrone,52.08,31.71,20,26.04,2,78.12
Phoenix,United States,US,Bean soup,Turkish,Hyacintha,65-481-0473,Hanne,Hyacintha Hanne,11/4/2019,Ice cream,Corfu Red Wine,7/25/2020,82-505-2050,58662050,908,Potato salad,Minestrone,98,34.26,9.71,49,3,147
Fairbanks,United States,US,Pizza,Italian,Donni,37-845-3065,Tatem,Donni Tatem,10/22/2020,Cheesecake,Italian Coffee,7/14/2021,58-753-8307,404 01,915,Bruschetta,Minestrone,91.84,41.1,24,45.92,3,137.76
Pasadena,United States,US,Carbonara,Turkish,Mary,81-488-4385,Jellett,Mary Jellett,4/6/2022,Affogato,Roma Red wine,3/27/2020,47-612-6340,-2.48551e+07,916,Focaccia,Tomato bread,133.17,99.88,10,66.585,3,199.755
Santa Cruz,United States,US,Bean soup,Italian,Melodee,30-902-5761,Gartshore,Melodee Gartshore,6/30/2021,Ice cream,Corfu Red Wine,12/30/2021,42-303-1476,49829286,938,Potato salad,Olives,133.17,60.25,91.41,66.585,1,199.755
Salt Lake City,United States,US,Kabasa,Greek,Sheela,95-339-8822,Stein,Sheela Stein,6/13/2020,Turkish yoghurt,Ankara White Wine,3/8/2021,53-563-4345,353771,965,Meatballs,Minestrone,125,36.43,11.23,62.5,2,187.5
Shawnee Mission,United States,US,Kabasa,Greek,Sterne,37-013-0292,Salterne,Sterne Salterne,3/30/2021,Turkish yoghurt,Ankara White Wine,8/21/2022,69-607-3610,-3.1097e+07,1137,Meatballs,Tomato bread,52.08,37.78,20.33,26.04,2,78.12
Provo,United States,US,Pizza,Greek,Mady,46-957-2549,McMennum,Mady McMennum,10/7/2021,Cheesecake,Italian Coffee,8/13/2020,56-076-6137,60109458,1141,Bruschetta,Flatbread,125,51.72,31.2,62.5,2,187.5
Reno,United States,US,Pizza,Italian,Merwin,52-934-7220,Pikhno,Merwin Pikhno,12/19/2019,Cheesecake,Italian Coffee,2/27/2022,06-887-6332,421 01,1195,Bruschetta,Falafel,168.27,14.8,10,84.135,3,252.405
Sacramento,United States,US,Pizza,Italian,Aime,93-077-9628,Ferry,Aime Ferry,10/23/2022,Cheesecake,Italian Coffee,7/14/2021,04-904-4552,424 01,1255,Bruschetta,Flatbread,320,2.73,37.04,160,2,480
Allentown,United States,US,Carbonara,Italian,Merlina,81-155-1642,Lermit,Merlina Lermit,4/20/2022,Affogato,Roma Red wine,7/27/2019,60-081-1759,987-0426,1262,Focaccia,Minestrone,124.62,37.47,9.12,62.31,1,186.93
Inglewood,United States,US,Shwarma,Turkish,Schuyler,44-371-9315,Walewski,Schuyler Walewski,10/22/2019,Baklava,Turkish Coffee,6/5/2020,12-718-1501,430 01,1348,Fries,Hummus,98,12.22,37.04,49,3,147
Phoenix,United States,US,Greek salad,Greek,Ariadne,16-794-2589,Copeland,Ariadne Copeland,3/4/2021,Greek yoghurt,Athens White wine,11/5/2019,99-748-0471,86577665,1349,Tapas,Olives,168.27,48.03,24,84.135,2,252.405
Charlotte,United States,US,Bean soup,Italian,Tamma,75-496-8007,Clink,Tamma Clink,3/23/2021,Ice cream,Corfu Red Wine,12/18/2019,84-864-3249,87125030,1350,Potato salad,Flatbread,124.62,40.77,10,62.31,1,186.93
Hamilton,United States,US,Greek salad,Greek,Susette,01-169-3967,O'Neil,Susette O'Neil,11/15/2020,Greek yoghurt,Athens White wine,12/9/2019,10-370-7784,73965342,1397,Tapas,Falafel,93.13,81.05,15,46.565,2,139.695
Lubbock,United States,US,Kabasa,Greek,Aldrich,30-481-3036,Phythien,Aldrich Phythien,3/1/2021,Turkish yoghurt,Ankara White Wine,4/26/2021,87-435-5817,3810-849,1521,Meatballs,Flatbread,310,38.29,15,155,2,465
Wilkes Barre,United States,US,Bean soup,Turkish,Dusty,23-245-6549,Yedall,Dusty Yedall,12/17/2020,Ice cream,Corfu Red Wine,2/13/2021,61-509-9344,993-0122,1548,Potato salad,Tomato bread,124.62,97.38,68.89,62.31,3,186.93
Kansas City,United States,US,Carbonara,Italian,Roanna,91-757-8892,Safont,Roanna Safont,11/18/2022,Affogato,Roma Red wine,1/6/2023,52-708-9153,649-6418,1574,Focaccia,Tomato bread,44.57,1.54,35.44,22.285,1,66.855
Chesapeake,United States,US,Kabasa,Greek,Richie,45-619-6096,Brydson,Richie Brydson,5/24/2020,Turkish yoghurt,Ankara White Wine,9/16/2019,66-576-7484,-4.39008e+07,1581,Meatballs,Falafel,125,67.12,94.76,62.5,2,187.5
Fort Smith,United States,US,Bean soup,Turkish,Alfreda,47-423-8685,Chasmer,Alfreda Chasmer,10/2/2022,Ice cream,Corfu Red Wine,10/15/2022,27-252-7456,649-6420,1608,Potato salad,Olives,210,90.72,91.14,105,3,315
Grand Junction,United States,US,Kabasa,Greek,Renato,77-254-6430,Paulin,Renato Paulin,3/19/2020,Turkish yoghurt,Ankara White Wine,3/20/2020,67-156-1140,85139442,1617,Meatballs,Minestrone,93.13,81.2,51.05,46.565,2,139.695
Birmingham,United States,US,Shwarma,Italian,Janeva,19-203-6248,Silman,Janeva Silman,1/25/2021,Baklava,Turkish Coffee,6/22/2021,53-131-0339,85586406,1618,Fries,Tomato bread,44.57,16.63,89.84,22.285,1,66.855
Chicago,United States,US,Carbonara,Turkish,Wenona,71-908-5082,MacGinlay,Wenona MacGinlay,12/9/2022,Affogato,Roma Red wine,4/24/2021,83-547-0450,87374262,1652,Focaccia,Hummus,210,42.27,9.71,105,3,315
Pompano Beach,United States,US,Kabasa,Italian,Karissa,13-040-2063,Sancraft,Karissa Sancraft,3/28/2022,Turkish yoghurt,Ankara White Wine,1/13/2021,53-322-3671,449 01,1671,Meatballs,Hummus,75,2.88,97.48,37.5,2,112.5
Atlanta,United States,US,Kabasa,Greek,Vale,78-969-3391,Norwood,Vale Norwood,3/30/2022,Turkish yoghurt,Ankara White Wine,1/16/2021,92-859-5564,108472265,1689,Meatballs,Falafel,69.38,52.14,37.04,34.69,2,104.07
Newport Beach,United States,US,Carbonara,Turkish,Lance,11-687-7365,Cheatle,Lance Cheatle,2/7/2020,Affogato,Roma Red wine,6/8/2021,95-935-6126,-4.72619e+07,1700,Focaccia,Tomato bread,98,99.91,61.49,49,3,147
Buffalo,United States,US,Kabasa,Greek,Sherye,38-029-8372,Christmas,Sherye Christmas,11/7/2020,Turkish yoghurt,Ankara White Wine,6/14/2019,90-256-2320,353815,1713,Meatballs,Tomato bread,125,94.67,91.41,62.5,2,187.5
Decatur,United States,US,Kabasa,Italian,Lorne,03-040-0318,Boldry,Lorne Boldry,5/6/2021,Turkish yoghurt,Ankara White Wine,3/2/2021,79-627-2533,90503010,1719,Meatballs,Tomato bread,310,39.38,30,155,2,465
Sacramento,United States,US,Bean soup,Turkish,Yardley,36-850-2399,Eliet,Yardley Eliet,3/28/2022,Ice cream,Corfu Red Wine,12/26/2021,99-862-6759,33720,1728,Potato salad,Hummus,44.57,59.34,67.77,22.285,3,66.855
Decatur,United States,US,Kabasa,Greek,Doreen,09-203-2909,Sothcott,Doreen Sothcott,1/24/2022,Turkish yoghurt,Ankara White Wine,2/15/2020,75-556-0225,-4.83822e+07,1749,Meatballs,Flatbread,93.13,70.86,99.24,46.565,2,139.695
San Francisco,United States,US,Pizza,Greek,Petronille,27-104-9440,Scrimgeour,Petronille Scrimgeour,12/8/2019,Cheesecake,Italian Coffee,3/10/2022,74-006-2266,92290866,1753,Bruschetta,Hummus,52.08,84.96,10,26.04,2,78.12
Washington,United States,US,Pizza,Italian,Faith,82-520-3770,Grushin,Faith Grushin,1/13/2021,Cheesecake,Italian Coffee,11/20/2020,54-080-0702,457 01,1807,Bruschetta,Minestrone,310,31.71,9.71,155,2,465
Phoenix,United States,US,Bean soup,Turkish,Hyacintha,65-481-0473,Hanne,Hyacintha Hanne,11/4/2019,Ice cream,Corfu Red Wine,7/25/2020,82-505-2050,987-0464,1908,Potato salad,Minestrone,83.99,34.26,10,41.995,3,125.985
Fairbanks,United States,US,Pizza,Italian,Donni,37-845-3065,Tatem,Donni Tatem,10/22/2020,Cheesecake,Italian Coffee,7/14/2021,58-753-8307,33731,1915,Bruschetta,Minestrone,320,41.1,35.44,160,3,480
Pasadena,United States,US,Carbonara,Turkish,Mary,81-488-4385,Jellett,Mary Jellett,4/6/2022,Affogato,Roma Red wine,3/27/2020,47-612-6340,649-6438,1916,Focaccia,Tomato bread,210,99.88,31.2,105,3,315
Santa Cruz,United States,US,Bean soup,Italian,Melodee,30-902-5761,Gartshore,Melodee Gartshore,6/30/2021,Ice cream,Corfu Red Wine,12/30/2021,42-303-1476,-5.39839e+07,1938,Potato salad,Olives,210,60.25,24,105,1,315
Salt Lake City,United States,US,Kabasa,Greek,Sheela,95-339-8822,Stein,Sheela Stein,6/13/2020,Turkish yoghurt,Ankara White Wine,3/8/2021,53-563-4345,649-6441,1965,Meatballs,Minestrone,168.27,36.43,98.01,84.135,2,252.405
Shawnee Mission,United States,US,Kabasa,Greek,Sterne,37-013-0292,Salterne,Sterne Salterne,3/30/2021,Turkish yoghurt,Ankara White Wine,8/21/2022,69-607-3610,649-6451,2137,Meatballs,Tomato bread,310,37.78,68.89,155,2,465
Provo,United States,US,Pizza,Greek,Mady,46-957-2549,McMennum,Mady McMennum,10/7/2021,Cheesecake,Italian Coffee,8/13/2020,56-076-6137,-5.95856e+07,2141,Bruschetta,Flatbread,168.27,51.72,15,84.135,2,252.405
Reno,United States,US,Pizza,Italian,Merwin,52-934-7220,Pikhno,Merwin Pikhno,12/19/2019,Cheesecake,Italian Coffee,2/27/2022,06-887-6332,115532994,2195,Bruschetta,Falafel,69.38,14.8,31.2,34.69,3,104.07
Sacramento,United States,US,Pizza,Italian,Aime,93-077-9628,Ferry,Aime Ferry,10/23/2022,Cheesecake,Italian Coffee,7/14/2021,04-904-4552,33751,2255,Bruschetta,Flatbread,93.13,2.73,67.77,46.565,2,139.695
Allentown,United States,US,Carbonara,Italian,Merlina,81-155-1642,Lermit,Merlina Lermit,4/20/2022,Affogato,Roma Red wine,7/27/2019,60-081-1759,993-0164,2262,Focaccia,Minestrone,119.8,37.47,47.84,59.9,1,179.7
Inglewood,United States,US,Shwarma,Turkish,Schuyler,44-371-9315,Walewski,Schuyler Walewski,10/22/2019,Baklava,Turkish Coffee,6/5/2020,12-718-1501,123578346,2348,Fries,Hummus,83.99,12.22,67.77,41.995,3,125.985
Phoenix,United States,US,Greek salad,Greek,Ariadne,16-794-2589,Copeland,Ariadne Copeland,3/4/2021,Greek yoghurt,Athens White wine,11/5/2019,99-748-0471,124025310,2349,Tapas,Olives,69.38,48.03,35.44,34.69,2,104.07
Charlotte,United States,US,Bean soup,Italian,Tamma,75-496-8007,Clink,Tamma Clink,3/23/2021,Ice cream,Corfu Red Wine,12/18/2019,84-864-3249,987-0490,2350,Potato salad,Flatbread,119.8,40.77,31.2,59.9,1,179.7
Hamilton,United States,US,Greek salad,Greek,Susette,01-169-3967,O'Neil,Susette O'Neil,11/15/2020,Greek yoghurt,Athens White wine,12/9/2019,10-370-7784,-6.69478e+07,2397,Tapas,Falafel,75,81.05,80.34,37.5,2,112.5
Lubbock,United States,US,Kabasa,Greek,Aldrich,30-481-3036,Phythien,Aldrich Phythien,3/1/2021,Turkish yoghurt,Ankara White Wine,4/26/2021,87-435-5817,499 01,2521,Meatballs,Flatbread,91.84,38.29,80.34,45.92,2,137.76
Wilkes Barre,United States,US,Bean soup,Turkish,Dusty,23-245-6549,Yedall,Dusty Yedall,12/17/2020,Ice cream,Corfu Red Wine,2/13/2021,61-509-9344,-7.0949e+07,2548,Potato salad,Tomato bread,119.8,97.38,89.84,59.9,3,179.7
Kansas City,United States,US,Carbonara,Italian,Roanna,91-757-8892,Safont,Roanna Safont,11/18/2022,Affogato,Roma Red wine,1/6/2023,52-708-9153,165945590,2574,Focaccia,Tomato bread,220,1.54,20,110,1,330
Chesapeake,United States,US,Kabasa,Greek,Richie,45-619-6096,Brydson,Richie Brydson,5/24/2020,Turkish yoghurt,Ankara White Wine,9/16/2019,66-576-7484,502 01,2581,Meatballs,Falafel,168.27,67.12,91.41,84.135,2,252.405
Fort Smith,United States,US,Bean soup,Turkish,Alfreda,47-423-8685,Chasmer,Alfreda Chasmer,10/2/2022,Ice cream,Corfu Red Wine,10/15/2022,27-252-7456,168135050,2608,Potato salad,Olives,44.57,90.72,11.23,22.285,3,66.855
Grand Junction,United States,US,Kabasa,Greek,Renato,77-254-6430,Paulin,Renato Paulin,3/19/2020,Turkish yoghurt,Ankara White Wine,3/20/2020,67-156-1140,-7.30296e+07,2617,Meatballs,Minestrone,75,81.2,99.24,37.5,2,112.5
Birmingham,United States,US,Shwarma,Italian,Janeva,19-203-6248,Silman,Janeva Silman,1/25/2021,Baklava,Turkish Coffee,6/22/2021,53-131-0339,-7.31896e+07,2618,Fries,Tomato bread,220,16.63,30,110,1,330
Chicago,United States,US,Carbonara,Turkish,Wenona,71-908-5082,MacGinlay,Wenona MacGinlay,12/9/2022,Affogato,Roma Red wine,4/24/2021,83-547-0450,-7.41499e+07,2652,Focaccia,Hummus,44.57,42.27,10,22.285,3,66.855
Pompano Beach,United States,US,Kabasa,Italian,Karissa,13-040-2063,Sancraft,Karissa Sancraft,3/28/2022,Turkish yoghurt,Ankara White Wine,1/13/2021,53-322-3671,140562978,2671,Meatballs,Hummus,144.09,2.88,51.05,72.045,2,216.135
Atlanta,United States,US,Kabasa,Greek,Vale,78-969-3391,Norwood,Vale Norwood,3/30/2022,Turkish yoghurt,Ankara White Wine,1/16/2021,92-859-5564,141903870,2689,Meatballs,Falafel,190,52.14,67.77,95,2,285
Newport Beach,United States,US,Carbonara,Turkish,Lance,11-687-7365,Cheatle,Lance Cheatle,2/7/2020,Affogato,Roma Red wine,6/8/2021,95-935-6126,509 01,2700,Focaccia,Tomato bread,83.99,99.91,10.52,41.995,3,125.985
Buffalo,United States,US,Kabasa,Greek,Sherye,38-029-8372,Christmas,Sherye Christmas,11/7/2020,Turkish yoghurt,Ankara White Wine,6/14/2019,90-256-2320,649-6485,2713,Meatballs,Tomato bread,168.27,94.67,24,84.135,2,252.405
Decatur,United States,US,Kabasa,Italian,Lorne,03-040-0318,Boldry,Lorne Boldry,5/6/2021,Turkish yoghurt,Ankara White Wine,3/2/2021,79-627-2533,-7.59104e+07,2719,Meatballs,Tomato bread,91.84,39.38,9.12,45.92,2,137.76
Sacramento,United States,US,Bean soup,Turkish,Yardley,36-850-2399,Eliet,Yardley Eliet,3/28/2022,Ice cream,Corfu Red Wine,12/26/2021,99-862-6759,3810-920,2728,Potato salad,Hummus,220,59.34,94.76,110,3,330
Decatur,United States,US,Kabasa,Greek,Doreen,09-203-2909,Sothcott,Doreen Sothcott,1/24/2022,Turkish yoghurt,Ankara White Wine,2/15/2020,75-556-0225,649-6487,2749,Meatballs,Flatbread,75,70.86,20.33,37.5,2,112.5
San Francisco,United States,US,Pizza,Greek,Petronille,27-104-9440,Scrimgeour,Petronille Scrimgeour,12/8/2019,Cheesecake,Italian Coffee,3/10/2022,74-006-2266,-7.68707e+07,2753,Bruschetta,Hummus,310,84.96,31.2,155,2,465
Washington,United States,US,Pizza,Italian,Faith,82-520-3770,Grushin,Faith Grushin,1/13/2021,Cheesecake,Italian Coffee,11/20/2020,54-080-0702,147714402,2807,Bruschetta,Minestrone,91.84,31.71,10,45.92,2,137.76
Phoenix,United States,US,Bean soup,Turkish,Hyacintha,65-481-0473,Hanne,Hyacintha Hanne,11/4/2019,Ice cream,Corfu Red Wine,7/25/2020,82-505-2050,993-0202,2908,Potato salad,Minestrone,225,34.26,31.2,112.5,3,337.5
Fairbanks,United States,US,Pizza,Italian,Donni,37-845-3065,Tatem,Donni Tatem,10/22/2020,Cheesecake,Italian Coffee,7/14/2021,58-753-8307,3810-931,2915,Bruschetta,Minestrone,93.13,41.1,20,46.565,3,139.695
Pasadena,United States,US,Carbonara,Turkish,Mary,81-488-4385,Jellett,Mary Jellett,4/6/2022,Affogato,Roma Red wine,3/27/2020,47-612-6340,692940,2916,Focaccia,Tomato bread,44.57,99.88,15,22.285,3,66.855
Santa Cruz,United States,US,Bean soup,Italian,Melodee,30-902-5761,Gartshore,Melodee Gartshore,6/30/2021,Ice cream,Corfu Red Wine,12/30/2021,42-303-1476,523 01,2938,Potato salad,Olives,44.57,60.25,35.44,22.285,1,66.855
Salt Lake City,United States,US,Kabasa,Greek,Sheela,95-339-8822,Stein,Sheela Stein,6/13/2020,Turkish yoghurt,Ankara White Wine,3/8/2021,53-563-4345,191124380,2965,Meatballs,Minestrone,69.38,36.43,73.09,34.69,2,104.07
Shawnee Mission,United States,US,Kabasa,Greek,Sterne,37-013-0292,Salterne,Sterne Salterne,3/30/2021,Turkish yoghurt,Ankara White Wine,8/21/2022,69-607-3610,692953,3137,Meatballs,Tomato bread,91.84,37.78,89.84,45.92,2,137.76
Provo,United States,US,Pizza,Greek,Mady,46-957-2549,McMennum,Mady McMennum,10/7/2021,Cheesecake,Italian Coffee,8/13/2020,56-076-6137,353899,3141,Bruschetta,Flatbread,69.38,51.72,80.34,34.69,2,104.07
Reno,United States,US,Pizza,Italian,Merwin,52-934-7220,Pikhno,Merwin Pikhno,12/19/2019,Cheesecake,Italian Coffee,2/27/2022,06-887-6332,-8.93545e+07,3195,Bruschetta,Falafel,190,14.8,15,95,3,285
Sacramento,United States,US,Pizza,Italian,Aime,93-077-9628,Ferry,Aime Ferry,10/23/2022,Cheesecake,Italian Coffee,7/14/2021,04-904-4552,3810-951,3255,Bruschetta,Flatbread,75,2.73,94.76,37.5,2,112.5
Allentown,United States,US,Carbonara,Italian,Merlina,81-155-1642,Lermit,Merlina Lermit,4/20/2022,Affogato,Roma Red wine,7/27/2019,60-081-1759,-9.1115e+07,3262,Focaccia,Minestrone,98,37.47,17.4,49,1,147
Inglewood,United States,US,Shwarma,Turkish,Schuyler,44-371-9315,Walewski,Schuyler Walewski,10/22/2019,Baklava,Turkish Coffee,6/5/2020,12-718-1501,-9.36758e+07,3348,Fries,Hummus,225,12.22,94.76,112.5,3,337.5
Phoenix,United States,US,Greek salad,Greek,Ariadne,16-794-2589,Copeland,Ariadne Copeland,3/4/2021,Greek yoghurt,Athens White wine,11/5/2019,99-748-0471,-9.38358e+07,3349,Tapas,Olives,190,48.03,20,95,2,285
Charlotte,United States,US,Bean soup,Italian,Tamma,75-496-8007,Clink,Tamma Clink,3/23/2021,Ice cream,Corfu Red Wine,12/18/2019,84-864-3249,993-0228,3350,Potato salad,Flatbread,98,40.77,15,49,1,147
Hamilton,United States,US,Greek salad,Greek,Susette,01-169-3967,O'Neil,Susette O'Neil,11/15/2020,Greek yoghurt,Athens White wine,12/9/2019,10-370-7784,550 01,3397,Tapas,Falafel,144.09,81.05,53.53,72.045,2,216.135
Lubbock,United States,US,Kabasa,Greek,Aldrich,30-481-3036,Phythien,Aldrich Phythien,3/1/2021,Turkish yoghurt,Ankara White Wine,4/26/2021,87-435-5817,185259378,3521,Meatballs,Flatbread,320,38.29,53.53,160,2,480
Wilkes Barre,United States,US,Bean soup,Turkish,Dusty,23-245-6549,Yedall,Dusty Yedall,12/17/2020,Ice cream,Corfu Red Wine,2/13/2021,61-509-9344,649-6534,3548,Potato salad,Tomato bread,98,97.38,30,49,3,147
Kansas City,United States,US,Carbonara,Italian,Roanna,91-757-8892,Safont,Roanna Safont,11/18/2022,Affogato,Roma Red wine,1/6/2023,52-708-9153,987-0562,3574,Focaccia,Tomato bread,101.6,1.54,9.71,50.8,1,152.4
Chesapeake,United States,US,Kabasa,Greek,Richie,45-619-6096,Brydson,Richie Brydson,5/24/2020,Turkish yoghurt,Ankara White Wine,9/16/2019,66-576-7484,33829,3581,Meatballs,Falafel,69.38,67.12,24,34.69,2,104.07
Fort Smith,United States,US,Bean soup,Turkish,Alfreda,47-423-8685,Chasmer,Alfreda Chasmer,10/2/2022,Ice cream,Corfu Red Wine,10/15/2022,27-252-7456,987-0564,3608,Potato salad,Olives,220,90.72,98.01,110,3,330
Grand Junction,United States,US,Kabasa,Greek,Renato,77-254-6430,Paulin,Renato Paulin,3/19/2020,Turkish yoghurt,Ankara White Wine,3/20/2020,67-156-1140,353927,3617,Meatballs,Minestrone,144.09,81.2,20.33,72.045,2,216.135
Birmingham,United States,US,Shwarma,Italian,Janeva,19-203-6248,Silman,Janeva Silman,1/25/2021,Baklava,Turkish Coffee,6/22/2021,53-131-0339,563 01,3618,Fries,Tomato bread,101.6,16.63,9.12,50.8,1,152.4
Chicago,United States,US,Carbonara,Turkish,Wenona,71-908-5082,MacGinlay,Wenona MacGinlay,12/9/2022,Affogato,Roma Red wine,4/24/2021,83-547-0450,565 01,3652,Focaccia,Hummus,220,42.27,31.2,110,3,330
Pompano Beach,United States,US,Kabasa,Italian,Karissa,13-040-2063,Sancraft,Karissa Sancraft,3/28/2022,Turkish yoghurt,Ankara White Wine,1/13/2021,53-322-3671,-1.02799e+08,3671,Meatballs,Hummus,125,2.88,99.24,62.5,2,187.5
